customer_id,name,email,phone,address,loyalty_points,birthday,registration_date
CUST0001,Michelle Rogers,jennifergarcia@example.com,(782)288-6893x2988,"162 Mario Islands, West Gregory, WI 73648",613,2005-01-18,2020-09-05
CUST0002,Jason Sanchez,hansencharles@example.net,001-494-418-6970,"799 Zhang Stream, Colefort, VT 54941",56,1975-10-20,2024-11-16
CUST0003,Jeanne Colon,sparksbrandy@example.com,001-604-568-5601x04175,"2342 Howell Forge, Stewartside, NV 14139",7,1968-06-29,2021-07-05
CUST0004,Deborah Romero,keithwarner@example.org,001-946-419-5187x384,"54032 Saunders Land, East Chelseaborough, NH 57422",209,1953-11-02,2022-01-13
CUST0005,Gerald West,monroejessica@example.com,(635)736-6351,"8611 Susan Junction, Stewartton, AR 77900",308,1947-11-19,2022-08-08
CUST0006,Jason Cooper,amy52@example.org,(948)594-2129,"98171 Richard Plaza Suite 384, Ryanfort, RI 63896",968,2006-04-28,2020-11-21
CUST0007,Amanda Daniels,lisastewart@example.net,001-469-239-9351,"95827 Kirk Turnpike, Port Pamela, CT 22824",216,1995-10-26,2023-01-20
CUST0008,Clifford Adams,molinalindsey@example.com,6649362944,"37799 Tara Passage, East Tony, MS 11326",785,1988-05-25,2021-11-28
CUST0009,Nicholas Ward,jasmine72@example.net,636.217.1676,"2340 Michael Union, West Dennis, ME 53675",140,1978-07-07,2023-10-25
CUST0010,Samantha Mendoza,smithnicole@example.com,+1-359-915-0942,"7762 Burnett Courts, Meredithmouth, OR 46502",782,1986-08-02,2022-03-08
CUST0011,Mark Shaffer,iwilliams@example.org,538.643.3168x32657,"035 Shannon Lights, North Donaldburgh, MA 25168",261,1980-12-31,2021-04-03
CUST0012,John Horn,lynn99@example.org,(973)603-7229x143,"129 Ramirez Ways Suite 834, Wilsonberg, GA 94136",296,1946-04-09,2024-07-31
CUST0013,Kristin Fuller,dennis40@example.com,872-470-7323,"593 Jason Village, Jerryfurt, LA 90698",335,1968-05-11,2024-04-27
CUST0014,Melanie Williams,crystalberry@example.com,898.224.3259,"68298 Nathan Well, East Mike, PR 61441",122,1952-07-25,2024-10-20
CUST0015,Breanna Waters,uallen@example.com,(533)586-3954,"4508 Watson Squares Suite 544, Port Amy, FM 77063",7,1951-07-16,2023-03-01
CUST0016,Sarah Scott,joseph12@example.net,(202)926-4811x876,"662 Bradford Plains, Courtneyland, LA 44452",509,1966-11-26,2023-03-14
CUST0017,Dustin Hill,morrisrachel@example.net,592-243-2461x4913,"51760 Timothy Ports, Lake Yolandamouth, AK 96891",764,1988-06-25,2021-03-12
CUST0018,Richard Butler,thomas06@example.org,443.960.3723x3503,"31871 Morales Wells, Holmesville, AL 68370",440,1989-08-24,2024-06-14
CUST0019,Shannon Delgado,saraburch@example.net,485-849-7730x360,"454 Castillo Course Apt. 303, Alisonville, CT 17151",179,1956-09-10,2023-01-02
CUST0020,Elizabeth Clark,agonzales@example.com,499-943-9099,"3105 Gonzalez Throughway, Garychester, MP 77273",132,1971-09-13,2020-08-14
CUST0021,Kimberly Pitts,dominguezamber@example.net,+1-956-905-4671x709,"308 Michael Plaza, New Madelinefurt, AR 45286",389,1983-10-18,2024-06-13
CUST0022,Anthony Miller,briannawalters@example.com,+1-720-370-8147,"34621 Goodman Meadows, South Kimberly, TN 20009",545,1973-04-22,2021-02-05
CUST0023,Curtis Rose,anthonyfrench@example.net,703-955-6807x4298,"14327 Joseph Walk, Waltersfort, VA 76131",720,1953-12-06,2023-07-02
CUST0024,Wendy Cain,matthew57@example.net,8798848468,"9264 Robin Tunnel, Jamieshire, AR 20952",235,1974-07-06,2023-12-28
CUST0025,Michael Stewart,tracyhodges@example.com,(963)328-9411,"162 Skinner Lodge Suite 598, Taylorstad, MD 68031",512,2005-03-15,2022-10-12
CUST0026,Pamela Hall,psmith@example.com,913-705-3849x95909,"80181 Johnson Stream Apt. 990, Port Andrewstad, PW 77693",572,1968-05-22,2020-05-16
CUST0027,Cindy Ross,timothywoodard@example.net,565.326.6651x28493,"01178 Richard Manor, West Travis, UT 82626",853,1975-03-16,2023-06-13
CUST0028,Jeff George,ashleycampbell@example.net,8566116709,"659 Jennings Junctions Apt. 343, Morrisburgh, MP 49783",684,1958-09-15,2022-05-19
CUST0029,Taylor Burgess,jimmy14@example.com,001-642-204-5846x35899,"85260 Foster Harbor Suite 164, Clarencemouth, AZ 75666",825,1953-09-21,2021-03-11
CUST0030,Tara Carter,nking@example.com,(970)281-7350x63887,"202 Gordon Route Suite 803, Jenniferport, NC 55183",362,1969-02-10,2024-01-30
CUST0031,Victoria Anderson,rebekaherickson@example.com,362-842-7957,"07775 Nash Walks Suite 344, New Jenniferfort, SC 07055",73,1958-03-17,2024-06-14
CUST0032,Sandra Gay,mitchellcastillo@example.com,791.211.5356x997,"236 Sergio Passage, Lake Tony, PW 04951",406,1992-01-19,2022-04-02
CUST0033,Dennis Cline,craigpowell@example.org,+1-306-675-7643x281,"7126 Gary Lane Suite 488, West Angela, AL 01198",882,1984-06-28,2023-10-23
CUST0034,Michael Garcia,carla40@example.com,490-550-9720,"5375 Hopkins Forest, Vanessaburgh, VA 69913",759,1981-02-28,2024-01-06
CUST0035,Amy Lewis,philip38@example.org,7984003823,"8446 Michelle Mountains Apt. 856, North Josephborough, IL 78989",43,2003-07-23,2021-12-29
CUST0036,James Maynard,hayleybrown@example.net,400.755.6799,"17306 Melissa Crest, Lisatown, GA 25114",446,1982-06-25,2021-02-10
CUST0037,Brenda Jones,michaelanderson@example.net,489-709-0600x2319,"74031 Carrie Valley, Chelseaview, VI 57618",19,1970-05-11,2023-01-07
CUST0038,James Coleman,nicolehowell@example.com,4834258992,"692 Vincent Light, South Brittanymouth, WA 53625",470,1952-04-28,2022-05-30
CUST0039,Timothy Nguyen Jr.,jasmine78@example.org,5292484116,"1203 Smith Spurs Suite 431, East Tiffany, PW 11657",943,1974-07-18,2024-09-29
CUST0040,Wendy Bryan,stephenburke@example.org,001-593-526-3665x5444,"Unit 0893 Box 5522, DPO AP 69085",79,1959-05-12,2024-03-07
CUST0041,Kristen Parks,efleming@example.net,408-366-0765x389,"5167 Victoria Plain Apt. 281, Lukefurt, MN 50355",882,1946-09-03,2022-10-28
CUST0042,Kathleen Dunn,laura27@example.org,448.263.3917,"910 Young Motorway Suite 780, Cainshire, GU 75279",320,2003-12-27,2021-01-20
CUST0043,Raymond Hunter,knelson@example.net,301.379.3815x37944,"7219 Michael Stream Apt. 513, West Kristinaport, KS 99417",589,1981-12-26,2021-11-23
CUST0044,Heather Escobar,stephanieking@example.net,001-338-232-9730x742,"373 Diana Mountain Apt. 722, Davidville, ID 63911",439,1947-10-30,2021-01-18
CUST0045,Andrew Turner,mary70@example.org,530-244-7808,"94612 Jackson Knolls Apt. 486, North Margaret, VI 24294",587,1969-07-22,2024-06-13
CUST0046,Jean Nichols,campbelldawn@example.net,3064999744,"90389 Cynthia Unions, Port Catherinestad, MI 58994",414,1971-08-14,2020-10-18
CUST0047,Morgan Thomas,stephen99@example.com,(622)200-5411x85754,"0544 Robert Road, New Arielberg, GU 48421",726,1975-10-28,2022-03-22
CUST0048,Kimberly Cruz,xstephens@example.com,5595303034,"5945 Jessica Knoll Apt. 592, Jasonmouth, VI 93172",655,1973-11-09,2022-04-28
CUST0049,Samantha Gibbs,bellchristine@example.net,626-948-1812x259,"005 Sims Freeway, New Hunterton, OR 55384",427,1982-03-28,2024-04-06
CUST0050,Andre Cox,gregory32@example.com,422-699-3506x64105,"90015 Hannah Keys, Hansonbury, KY 80577",296,1968-11-02,2023-10-23
CUST0051,Christopher Roberts,johnsonamanda@example.org,7172244731,"9014 Noah Well Suite 015, Dayville, ME 14289",117,1947-04-24,2022-08-12
CUST0052,Derek Sutton,john48@example.org,(381)930-8484,"558 Aimee Extensions Suite 559, North Stephen, AL 85763",414,1957-06-15,2021-02-26
CUST0053,Jaime Long,sarah46@example.net,347.394.3865x858,"3677 Johnathan Manor, Leemouth, LA 10129",21,1960-11-08,2023-08-06
CUST0054,Mark Raymond,mendozasydney@example.org,(569)534-4386x316,"537 Walton Well Apt. 588, South William, WI 53829",989,1977-06-01,2022-06-11
CUST0055,Christopher Ramos,ronald03@example.org,329-822-3369,"573 Hamilton Mission Suite 319, Robinsonmouth, FL 14565",332,1973-10-16,2024-03-28
CUST0056,Daniel Rocha,wrightdanielle@example.com,(856)382-8112x139,"728 Lisa Loaf, Andersonfurt, WA 23780",175,1956-07-25,2022-03-09
CUST0057,Benjamin Davis,mistyscott@example.com,7378569437,"4256 Nelson Mountain Apt. 018, South Melissashire, LA 45126",820,1994-07-02,2021-09-03
CUST0058,Justin Butler,hendersonjerry@example.org,693-477-3955x2459,"2484 Larry Neck, Lake Robin, MN 93522",970,1971-04-21,2021-04-06
CUST0059,Jason Duarte,charleschris@example.org,(211)985-1952,"USS Phillips, FPO AA 94962",632,1975-09-05,2023-03-31
CUST0060,Heather Garrison,everettmegan@example.net,001-207-958-7206x57105,"USS Savage, FPO AE 32085",471,1975-11-11,2024-02-02
CUST0061,Linda Long,idavis@example.com,712-344-0388,"256 Hawkins Ramp Apt. 254, Matthewton, MD 52664",851,1975-09-12,2023-10-10
