employee_id,name,branch_id,department_id,hire_date,email,phone,job_title,address,birth_date,gender,salary,employment_status,shift,emergency_contact_name,emergency_contact_phone,performance_rating
EMP001,Christopher Campbell,BR002,D006,2023-05-29,greenparker@example.net,001-425-237-2879x30838,Cashier,"406 Stephanie Alley Apt. 061, Lake Kristina, NJ 58756",1976-07-30,Female,63356.83,Contract,Afternoon,Luke Roberts,571.665.7350,1.7
EMP002,Joshua Long,BR006,D001,2020-09-13,jdillon@example.com,486.427.4490x611,Stock Associate,"78248 Julie Cove, South Derekbury, VI 10804",1969-04-10,Other,142398.55,Contract,Morning,Melissa Reid,740.831.0798,3.4
EMP003,Carl Richmond,BR003,D004,2022-06-27,ross63@example.org,847-583-1077x179,Store Manager,"49878 Ellis Stravenue, North Shannon, KS 92355",1982-05-28,Male,85471.23,Part-time,Night,Sean Navarro,222.344.7601x2601,3.8
EMP004,Herbert Torres,BR004,D005,2024-08-31,castanedabrian@example.com,602-278-2682x06355,Cashier,"697 Morris Gateway Suite 935, North Petershire, RI 01119",1969-07-03,Male,128616.31,Part-time,Afternoon,Chris Jackson DVM,447-683-7448,2.1
EMP005,Tiffany Small,BR004,D007,2023-12-25,richard90@example.net,499-232-6238,Sales Associate,"78987 Jonathan Skyway, Jackchester, IA 36864",1977-08-02,Other,67761.35,Contract,Afternoon,Anthony Harris,+1-779-529-6865x6782,2.6
EMP006,Kevin Miles,BR008,D001,2020-11-17,phancock@example.com,538-532-2300x62703,Store Manager,"5021 Tammy Plain, West Sophia, MO 50701",1985-01-27,Male,119398.68,Contract,Afternoon,Katherine Ayala,(455)360-2965,4.0
EMP007,Jacob Martin,BR007,D006,2024-11-11,stephanie02@example.org,001-262-438-4598x93111,Customer Service Rep,"USCGC Ryan, FPO AP 84588",1994-08-18,Female,56318.49,Full-time,Night,Sarah Goodwin,(735)219-8971x1285,3.0
EMP008,Karen Solis,BR001,D006,2024-10-06,domingueznicholas@example.com,001-574-804-5308x034,Store Manager,"281 Thomas Ways Suite 527, Smithhaven, IN 59669",1962-06-06,Other,49197.84,Contract,Afternoon,Wesley Dixon,649.888.6188,3.4
EMP009,Bonnie Terry,BR007,D002,2020-06-17,michael94@example.org,(923)422-1271x998,Customer Service Rep,"4703 Bell Vista, Bradleyville, MP 20699",1985-12-23,Other,60169.69,Contract,Morning,Christian Freeman,267-224-5420x99683,3.7
EMP010,Thomas Vance,BR002,D005,2021-01-09,ngoodman@example.org,2933213365,Sales Associate,"44004 Mary Groves Apt. 576, Bryanhaven, WI 65496",1996-09-21,Female,122231.85,Part-time,Morning,Erin Curtis,(538)552-6956x481,2.2
EMP011,Stacy Simpson,BR003,D003,2020-07-27,zunigajeffrey@example.net,001-615-902-1915x95436,Stock Associate,"5081 Gray Row, Lake Gregoryberg, MD 03097",1991-10-06,Other,121435.46,Contract,Morning,Sheila Cameron,551.615.3102x903,4.5
EMP012,Tracy Evans,BR005,D006,2024-09-02,martinezstephanie@example.com,9486312957,Sales Associate,"58865 Bennett Run, East Robertburgh, SC 52836",2002-12-12,Other,53869.33,Part-time,Morning,Shannon Wilson,438-307-2837x558,3.2
EMP013,Justin Strong,BR001,D004,2022-11-18,wallstephanie@example.net,(762)450-0007,Customer Service Rep,"119 Stanton Branch, Rhondamouth, VA 98868",1983-12-30,Male,43424.13,Part-time,Afternoon,Tony Smith,433-214-7160,2.0
EMP014,Michael Williams,BR004,D006,2024-07-21,travisscott@example.org,(587)332-5483x961,Cashier,"USS Long, FPO AE 03421",1993-05-30,Male,117828.91,Full-time,Night,Nicholas Riley,(596)640-9581x091,4.1
EMP015,Ashley Winters,BR003,D005,2022-03-23,joshua55@example.net,+1-702-876-5692x859,Sales Associate,"800 Solis Harbors, West Robertside, SC 44649",2003-06-08,Male,61806.8,Contract,Afternoon,Ashley Cook,(945)744-8744x830,4.9
EMP016,Christina Castro,BR004,D006,2024-03-20,christopher56@example.com,(758)234-5185x4239,Customer Service Rep,"45102 Linda Gateway Apt. 695, Port Richardfort, CT 39562",1983-06-27,Other,107985.37,Part-time,Night,Joshua Rich,765.817.2965x198,2.8
